re_id;re_cu_id;re_date;re_amount;re_modeofpayment;re_checknumber;re_bank
52;928;18/02/2009 1:40;12174;J9AEZLEB42UM5H4;49722;OT39-7896-7411-1404
53;929;20/08/2002 11:02;39860;NHKJ4D75QPSU3FI;33344;QW98-2808-6056-2171
54;901;13/07/2002 21:02;13136;Y6H3UQ759HXK2QT;19723;HP60-0367-8498-3025
55;94;10/07/2010 5:50;7367;YE7VLUT515O9TK7;50296;XV03-5293-2532-2852
56;107;17/05/2009 20:57;4844;K3NZZ08W9E9NFN2;20912;LB86-8181-6637-6715
57;954;17/08/2002 16:01;9700;WDVP8M63CB2O2XC;4020;SM58-5902-2547-1706
58;149;4/12/2008 21:23;5977;980Z2TFY6AL6K6Q;93143;AE59-5260-7475-2792
59;570;1/07/2003 2:56;NULL;3ODGPIGXWJNOYJU;54932;UW31-0940-8962-0950
60;619;5/11/2004 8:52;14081;2KE6M2X2XWJY0ZJ;81151;LE51-1599-4923-1704
61;NULL;12/05/2005 3:12;6230;KNKDKWZQS22I6QZ;15260;FB84-3028-1437-8918
62;851;18/09/2003 14:08;19379;F94ZSJR1RBITZIW;2044;NB39-9681-5321-6668
63;282;25/07/2003 3:46;941;0H3BZHR6LNEKZEV;58843;SD34-6437-6979-5463
64;959;3/08/2006 17:16;19949;XWIRVJD1WJM9D5Q;30624;KP51-5313-0979-0553
65;388;13/06/2008 16:58;41416;65IONONYIYD4571;29883;LK94-1811-4035-7260
66;281;31/07/2007 5:38;35823;FBV2Z51H42EFUIS;74340;HM69-0049-0192-6764
67;532;29/03/2008 21:53;4664;X3ETW7J89K8X59V;3394;YD58-3432-3119-3450
68;1065;12/09/2008 12:56;3620;I9T2ANA030KK973;91097;SG48-3515-5433-0147
69;847;10/12/2010 16:35;20346;5X71T7G8RMTFW4C;23711;DR60-2933-4728-0910
70;105;2/03/2006 15:33;8244;6QXLOQ59SDPVMZZ;99003;FS76-5522-3255-7850
71;402;3/07/2005 13:32;5985;G9R71UVASLANUV4;41996;UE17-4101-6799-9396
72;131;28/12/2009 4:38;9278;OPEJAIBESY8FHKL;61723;NULL
73;616;4/07/2008 15:17;31347;NRYNC5TCUMS3GIE;64653;CB14-2821-9245-6971
74;686;26/10/2006 15:02;8600;8Q7WLGRYXDF3LFT;22146;EE65-6485-3271-0242
75;173;18/05/2009 11:58;49738;ZIZ3XGMJW1OOP7Y;35325;UZ75-4324-5999-4906
76;610;27/05/2006 15:40;21975;JC6QDP770ZPZPPR;40925;JR59-4866-9131-9011
77;998;13/11/2006 22:23;17214;TL4YIBZS3O0JR28;29402;QC72-2953-5943-1589
78;64;11/10/2007 20:18;10712;F5J982UAAS2XRNT;59075;QT68-7959-5275-7682
79;843;30/07/2003 12:18;NULL;A9V430Q8CEMOOOG;43577;CJ31-8484-1593-1434
80;646;28/06/2003 17:21;34896;RZKK6H6RQUNQ810;99595;ZJ07-7038-7553-2658
81;971;7/02/2003 21:30;49863;VT8H74NEEAWTF6L;54567;SL36-2161-7819-3431
82;513;26/08/2008 21:52;19142;B46S280S34D8CZ0;4933;NP40-9588-6529-6195
83;814;16/11/2010 19:09;21279;E6SUFYPMB55VLCB;81059;QS07-4292-7028-9622
84;576;1/08/2007 7:54;29179;81F3V8DMTFE3RE2;96067;WJ12-0963-6488-3305
85;673;17/04/2004 13:45;25423;ALF9DQ6DEKGX347;57283;WP94-0374-2373-9443
86;302;12/08/2006 23:34;38218;STZBKWF5S600JMV;62434;HX06-0353-7297-1880
87;466;5/10/2003 14:43;47204;2QL0X26IU1OBSGI;9166;XV30-5448-1967-8860
88;217;14/02/2009 23:17;21563;8OBXERUE5AG7P6T;81019;GF41-5376-3830-7524
89;231;1/05/2009 6:15;36611;OIUDJ7TPMHGI74C;4089;CK53-0339-9466-9929
90;447;29/12/2002 15:11;49512;NBSVAXIBV6UNLZS;9640;SH80-6812-5217-9745
91;20;19/01/2007 13:37;31980;7WM9L550VLBXAB7;2136;KQ34-4575-5731-6214
92;817;5/12/2003 11:50;9122;X4JEDYHR0JICD64;95614;FS42-8501-3036-5652
93;914;18/02/2003 1:17;24013;PSABI3QH5R0PML1;52998;JR04-6225-1519-8225
94;510;24/11/2010 11:53;34640;ZTPHGEA9EU92NSN;14757;TK17-4905-1280-3771
95;994;18/03/2002 1:09;34588;HO7I0VITE18MYS4;58242;TQ25-7174-6252-8772
96;654;6/07/2002 1:33;17592;IYDJGN6BH1XNUNU;16906;EZ92-8044-4807-8197
97;968;16/02/2002 16:21;28841;3B7XDJI3AW2E5OB;94492;JE59-7350-9856-3288
98;773;26/10/2006 14:42;49794;QTKOF38UIW0ZYVZ;9903;FZ24-5505-5588-3301
99;421;29/03/2007 6:56;3327;7VINL71ZF99KKR5;91103;ZJ49-1858-8711-3561
100;886;22/02/2004 2:07;39464;PCX035X02CEHIJ5;34427;MM43-8499-7426-7414
101;256;15/07/2007 10:30;34792;WC7A6OZISL85UOA;74219;LU67-6807-9848-0562
102;898;4/04/2003 12:08;14596;Q6AMXYN1YIK8TJG;94659;QV13-5260-7106-7611
103;883;21/03/2010 17:01;5860;4TN8KVN1CF8HXR5;21135;YG75-7179-1389-5471
104;786;13/05/2004 7:32;40869;2NRC9JIXO5BO3RP;85455;JQ16-1629-1675-3717
105;353;5/08/2006 21:05;37904;5B10016UJ9AIQ54;41337;XD68-7321-0056-5835
106;34;17/11/2005 12:31;35189;C755S4NLBPJEJZX;97751;MB06-3317-3444-5814
107;122;17/08/2002 10:22;42331;PZCLP4C0GWS08Z7;19910;ZS15-9488-1641-6113
108;497;24/10/2006 19:59;40420;15BWLJG1OGPBISA;4178;DM66-1799-1143-8194
109;262;25/02/2004 9:04;3573;BPTQSJG7U4PVBNC;49953;NULL
110;243;13/02/2006 14:10;40122;I0CEN0Y5JBW9F1I;32917;HW28-3897-0282-4907
111;134;4/07/2004 22:33;41162;M8OJ6GQIO42HUKP;56655;VW04-7179-9186-4707
112;560;5/11/2005 19:43;40153;3CSIFVWARN7HM7R;56941;AF18-0441-6249-2305
113;342;9/05/2007 9:05;44132;M092ZT529UQJYHB;97454;GU01-6401-0886-8536
114;98;3/01/2002 9:35;24804;LW52908QCDSJ98W;96319;HV38-6824-1174-0654
115;711;29/09/2003 11:22;6114;C9VTBN1A7Q8L5DC;13351;JA63-3537-9099-7260
116;652;15/09/2007 5:20;44940;C7WP1OJLRIPL1MS;79106;WS87-2389-2698-7562
117;265;1/11/2003 18:59;34952;X96OMHNXVVVISNL;25892;WR20-4733-4342-7660
118;196;23/12/2006 19:51;40200;1I71C6FNQ92SXF8;19726;NW64-1207-7390-5717
119;492;18/04/2004 3:31;25518;X7NV6NNUKYU5T0T;78792;MN83-5298-1037-6583
120;320;2/11/2003 17:24;31732;XQKIFRORTIYDFV0;53783;HQ79-2529-3603-8156
121;245;26/10/2005 14:54;44213;MBLL0PTDVCHEB9U;80507;DW53-2891-4128-1392
122;611;11/02/2010 22:36;14260;GXV7UQ56JV2NOAF;48092;RZ83-4774-6517-1589
123;NULL;14/05/2010 6:41;18054;XEJIE847X6N3A9F;20310;IU85-4777-3249-6938
124;962;13/12/2009 1:23;4109;O8WHZSLW6F14N5O;9777;ER75-1198-3031-9849
125;1097;11/02/2010 1:55;38367;WSGXQCB7TNAN21W;18705;AS33-8545-1510-1973
126;191;31/07/2003 1:41;49123;GIZGDYP5SMCZ6ZK;74160;UY91-7871-8119-4232
127;111;10/11/2008 3:20;31972;H26HTITBWPOCIYU;61257;NG25-1389-6327-3161
128;102;10/08/2008 3:23;24639;JSN5688Y3B430C1;57587;SL33-1776-0026-7686
129;643;11/08/2006 13:53;46759;3I50VEGYONJOADM;73377;WF17-2101-1878-8110
130;242;13/11/2008 10:24;41009;S7GDCFL9U8EHDPB;31218;DH53-0354-5282-1618
131;860;10/04/2006 23:18;20897;NU90ST94CPGIOJN;43372;RN92-8785-6779-5491
132;908;19/01/2002 7:41;22182;O9ASVNHNWV5MZYK;75925;MQ55-5774-1047-6142
133;461;16/07/2002 13:21;13886;BZ0F3M2YYB1MZ3L;74102;RY94-3251-7819-3652
134;779;7/06/2010 10:10;21249;KOS4FIOZDL3WOM5;73153;DB47-1583-9186-6172
135;648;14/12/2006 6:51;103;5H6PJ8M27BTKMVO;672;FI32-8735-9658-4781
136;609;5/11/2010 9:21;35267;AV1B5GJTA02II5A;94321;RW86-2864-0497-1493
137;624;NULL;NULL;NULL;NULL;NULL
138;874;7/06/2009 4:51;13281;6OGHWWQC2QW3O4D;37571;OU95-7424-0854-4586
139;138;6/07/2008 11:37;30410;XAMSLT7PXDEI63J;25749;RB81-1822-8810-8114
140;NULL;27/12/2002 10:48;41275;1IEYE6WE4P9FJG4;23913;KB96-3368-6987-0466
141;1084;31/05/2009 1:13;40234;NKL8JHQCGRKJH86;89927;ZC20-3254-2429-9428
142;867;27/12/2005 13:11;45887;7V26PF3QE7OVKS5;9202;PL18-3487-7849-6699
143;787;11/12/2007 18:43;6783;98VMIBHJR1HNMDW;54376;CJ45-7419-7136-1220
144;830;22/12/2006 14:13;17989;JA7OEXG8GUUBTUS;50292;TT46-0228-8340-6265
145;523;18/03/2005 16:04;46489;L3A9DKGVDIFOXF4;35034;SV96-2653-9236-0977
146;635;25/06/2009 16:37;8350;BSC9KH2BRM5NH6Q;97084;VA88-6749-4909-4977
147;1010;16/03/2003 17:54;41827;8T2I2MIYUBBVHRB;40026;SM91-4363-8687-0816
148;801;29/07/2007 2:45;14990;QT00IJ330YHQFSE;91269;CL52-6859-0715-9671
149;922;15/02/2003 15:42;49209;SJF3DLYO9EE867T;95656;UQ62-1130-0660-4887
150;193;26/02/2009 0:31;28525;B3WO6PEPPYH45RJ;29619;BI79-2611-5537-8015
151;662;2/07/2005 19:49;39648;X42YC7O5UBQ45VW;27421;FX91-4958-4873-8348
152;535;3/09/2009 6:34;32640;4HFBWQ035PEE3TJ;6013;GW51-2058-2784-8827
153;774;23/02/2006 20:29;38641;UCB24VN4FRTVY9K;32309;OI16-4606-6290-4011
154;1126;10/07/2004 11:10;24275;1NZNC8563ZTMS91;66543;BB20-8205-0765-4477
155;120;27/05/2005 13:32;21596;R89SKUP9TAV5X54;24065;ND55-3438-6852-9575
156;563;27/04/2009 11:13;45252;5JCFUV5L64Y421B;53189;ZD54-4205-3458-6594
157;641;1/06/2008 11:53;20532;PS3P0RA7YPU1C09;66075;SS48-2748-1050-9069
158;1059;21/11/2003 5:27;46542;UXG9XM6V3NMFVK7;58101;HG24-3620-0524-0602
159;1094;9/04/2002 15:37;1751;ZPF51EVE94H4138;1954;OR14-8164-5634-2428
160;121;1/04/2005 5:36;2502;V0A4K282L7MC4UB;67350;FV04-6784-7575-0995
161;631;6/01/2005 19:24;38781;I12NK3WF22ZS51U;33045;PP59-9081-3538-1072
162;1100;7/01/2008 9:10;3217;FHKUA27XHDJUSJ9;45244;UA81-8224-3462-5546
163;13;6/01/2005 6:59;17692;T3M00LKR4U2H2FX;8129;BG39-7199-2285-6720
164;1046;16/03/2002 6:06;43662;DLXNAH3FT557K1M;72276;PS91-6155-6677-4211
165;824;12/04/2006 22:40;12565;TKZ2FTZTWSPF0QU;50891;IN11-6397-6845-4771
166;952;4/11/2010 14:51;19224;F0G7LL4CZ76VGC7;61633;KL66-7415-9721-7989
167;946;16/06/2004 14:52;18980;7IOIGV4JM3QHRNE;10216;OT97-2004-0190-5578
168;1032;23/04/2005 6:21;26267;A4SJLFX7FN27N3D;6764;UF71-3367-2187-6875
169;845;1/12/2007 22:54;22883;LN8H1BLKVWLIVNK;13877;CD96-1624-0875-2618
170;552;20/01/2006 2:43;24701;S3LCKNHRLG3TSWW;NULL;KR79-3097-3670-8582
171;419;24/11/2003 2:00;20848;Q6V4FW1ZI7NOUFC;46769;KI13-1932-7664-1627
172;422;9/04/2009 0:29;31659;2RFKI1ZY5GWL8RR;24307;IT71-4341-6993-6601
173;601;27/04/2006 7:22;4541;02RORGWV1MTCZTX;67490;OM50-6578-4105-4196
174;913;28/12/2005 9:02;48926;4BQ1HB0P6XYY0GQ;26556;XB06-1349-5472-1108
175;681;18/11/2005 2:17;35285;GONSNN0LUJIW7MY;78618;TG18-7925-5564-5424
176;467;5/11/2008 4:12;35845;JPGX1PHO21HTHXU;48488;GY86-3020-8718-9883
177;1087;14/11/2008 20:10;37429;V2WA65IHA46XT4H;45179;GL09-8666-3653-2153
178;520;21/02/2005 8:22;46272;ZNFAZTPQ6YQL564;30840;YM67-6456-0794-7725
179;950;26/02/2007 14:36;21566;OX05QN5E7ZMWIKV;11395;QI40-5366-0639-4252
180;1107;20/06/2002 8:45;45759;KXUUHKL2C537EWB;29069;CB29-8944-8321-1680
181;189;28/11/2008 8:01;46540;098W3BTBH1306T8;90656;XZ00-5434-3252-1016
182;1072;1/01/2007 22:55;34132;2S18B9G4BYTKJYZ;87974;EF12-8925-1111-1883
183;909;26/09/2007 11:38;32763;NIV9BZU83JDGGLV;75741;CY50-8195-4677-9866
184;757;14/06/2010 2:52;46114;XH4MV3SRT4K5I9R;22790;NULL
185;1152;9/02/2003 18:03;7110;1SCNXYA3YT4SWZN;45336;DX21-1791-3902-6139
186;614;12/03/2010 3:50;8368;2AN2TCFKQ4G7EOQ;68518;FA65-3920-6090-3937
187;571;16/02/2002 2:48;32257;RTEN98LZ61O1YZV;48395;AJ16-4726-7798-5698
188;865;10/07/2008 20:30;47907;GV27LPPPDSXTH3O;73771;SE69-2932-2426-5888
189;378;18/02/2008 23:48;42291;2A02KZGUPOVSODL;37744;AJ92-1373-9522-4742
190;1047;10/02/2003 22:57;25997;9NRJMI823PAGBRH;29990;XM52-2798-9568-7611
191;534;13/07/2009 18:57;29572;CEYOYS8GE8HXTX0;54091;PX28-4910-6418-3039
192;160;16/12/2008 3:54;38725;65KUB5NK1YYVPZJ;96689;UN99-3271-0235-2477
193;1077;28/02/2009 13:13;NULL;6SF9EWSGEB4D0B9;23741;WT21-9636-2973-2830
194;986;7/04/2005 6:00;11529;PA956NS7REN0TDQ;97330;JY51-3715-1797-7704
195;333;19/12/2008 15:24;27908;OJR1IQKAD4F009J;12388;KM83-1595-6147-6076
196;518;NULL;NULL;NULL;NULL;NULL
197;1129;25/05/2003 16:03;2493;PS6EPERJ07IZ8RM;84813;EB01-6551-6094-7821
198;117;22/12/2002 6:12;37017;KPPHK8NYQZR27R7;37207;FA46-9007-8724-8175
199;776;28/09/2007 12:37;28195;VXB17CPAS70A7K1;34741;JL00-3291-5590-6436
200;755;11/09/2002 15:33;NULL;HEFAK25H47OQMPB;98830;MI72-0187-5285-3696
201;176;14/05/2005 1:12;13122;014BGLU70FOC7DQ;82417;CQ31-3126-9581-2772
202;180;10/01/2007 1:45;5424;X5LTCWXTRUWZOYN;21879;BL93-4328-9637-4046
203;730;22/11/2008 11:33;27264;VS96GQ5VK794DT9;40961;SA66-4408-3702-3818
204;229;NULL;39371;GJSH3IV34AJMOUJ;48989;ZV98-4286-6034-2610
205;45;27/08/2010 3:50;15560;SLGE3KO60P84NSG;17029;DZ68-4102-7271-7740
206;485;26/01/2008 12:59;42108;K5I455ZDW5167J7;5453;HE76-8112-8988-2019
207;608;5/04/2007 22:31;24508;N7CRCVNWUMHEARG;61038;SL88-2358-9688-8166
208;1023;25/03/2007 19:19;7677;UL1ICEWML3HXIIZ;65529;ZA92-3747-1157-9805
209;103;9/05/2005 23:11;7988;IJGFFOLPILAJOK3;13749;PJ83-0348-2174-8678
210;526;27/02/2002 11:27;28099;PQBMHOD9BQ59DPD;39289;CC85-0293-1146-1993
211;375;22/08/2009 8:53;39716;M0WQA0W60C0Q4CX;80287;AY89-3302-6142-9869
212;457;22/07/2007 9:19;38991;0B8S6DYT674PIBB;19699;LM10-7776-5201-9557
213;586;13/06/2002 15:02;35752;8XXOOCVOT5M5NM4;30022;XD49-4810-3354-7946
214;778;11/04/2005 3:31;7823;S492HL6912K2W7N;9790;HO19-1592-2053-6043
215;700;24/09/2007 14:50;24260;18I7F9CNGKZ0QT6;25611;PP29-6415-1465-3042
216;465;20/10/2010 6:52;24976;NULL;77295;EV12-0619-2669-8094
217;838;3/05/2007 21:35;5992;36WD29BNQNMMRSS;48811;US06-7330-0547-0646
218;1040;4/01/2009 20:28;5962;IX4F4WJJSLLWL6I;32381;CR87-6140-8230-0512
219;816;13/04/2002 21:32;4649;V0ZPAAMRWVHRNPV;21788;TW21-1373-8370-2991
220;752;25/07/2005 4:06;20454;SCITPRF6MDKGNE1;28966;YA13-6401-3437-5674
221;924;3/02/2010 12:02;21578;4EQRT2B7BCI9FRV;79721;QR08-0976-0188-0825
222;992;31/01/2007 18:49;36552;PX49OPJ4LS3XP54;73528;SF49-2172-7323-1436
223;550;19/09/2010 12:02;4197;TWN8Z4UQ1AHC86R;68865;HN22-9348-8894-5927
224;966;6/12/2006 18:22;36968;HIQP9RWFVL51YDI;14479;BI38-5093-8447-2783
225;431;4/03/2008 6:32;21073;80FI4M3L3E8D76W;78926;FL84-8854-8621-9494
226;56;21/10/2006 23:57;33977;07F7FE8108DDYSR;87254;ML94-7432-4088-4416
227;308;9/07/2007 7:45;46887;RC48Q8RUE5MVJI7;31011;LX08-5123-9579-8080
228;866;7/12/2005 22:05;45130;PQ0RYBQTRDIW9PM;39332;DH46-3759-7105-9522
229;667;9/02/2002 11:15;32123;MLLV1NOSGLS9SCI;16314;DX44-8253-6736-5282
230;993;21/01/2003 1:21;20130;0ON8RZPGLAGDQVL;79965;TI24-4094-7003-0124
231;52;8/01/2008 17:38;26634;JB8YWBM228BCIG1;34784;AP13-9943-0036-2044
232;701;26/06/2004 10:14;46432;V0VK2EJMV5AQ6A1;10463;QY87-2850-7877-0194
233;1216;15/11/2007 22:00;48268;Z4PG3JLP1L5IOCY;70363;LC70-7870-0336-3547
234;519;18/02/2003 7:33;7649;91HQZ1M5RL2R1WV;73691;YH32-8619-9918-0764
235;511;12/06/2004 16:49;24306;7PDEQKBCE5IG80Y;36308;TA74-0875-7057-4898
236;1186;16/10/2003 13:23;40848;65H4TBLYHKPHGTO;26688;QB03-8428-2112-5738
237;384;10/06/2006 7:00;44302;QDBZZKEOQ5BTI5W;4532;JL29-0969-6719-6012
238;833;6/01/2002 20:28;6388;NJKVEQYV4EW6VTV;44283;NT59-5480-9326-8457
239;729;7/05/2007 19:04;30980;HCQVPYKMRTEN0RF;80509;PX54-3696-6586-6935
240;536;30/08/2010 22:39;42025;NYUX9SRZEFVKN7S;63365;VW64-3086-4898-9521
241;75;11/03/2005 4:21;8255;AQC6F11PYX4LBBV;71104;XJ37-9114-1970-9929
242;917;16/11/2006 22:43;38437;YKIXZYBOLRG93ZZ;78166;BB16-8574-3684-2643
243;653;3/11/2006 4:38;49122;0HD9F9WLW5YBN5N;34134;TE39-8695-1283-1140
244;237;19/12/2010 15:21;30270;KIL2OVXCFNLNLRL;74381;JZ72-5363-5638-8670
245;558;18/11/2009 11:36;42542;YLLUYMXPNW0UZZ0;81752;UY24-1914-3432-5622
246;743;31/07/2002 14:29;8915;3CPLDWU4J0URN90;33986;HG56-4334-0650-5883
247;589;31/08/2002 7:54;6538;JZD2KT5YLWFRU3C;4961;OV22-6330-7546-6747
248;183;4/04/2006 15:26;18174;M6K820L1QGBXR51;22466;VZ27-1997-8073-2457
249;884;25/03/2003 13:03;5311;WVA0MXUA7RZHH2A;92968;ZL20-3390-6778-0415
250;1241;11/05/2009 6:20;13749;NE4HOS2JDBC4I76;48942;JG95-2333-9685-9668
251;642;4/12/2008 8:25;5536;U0VYTCSOBA0B04K;92663;ZS12-5920-2661-3530
252;934;14/12/2010 18:56;21945;5V9C0JQ4TRMBLQS;95802;RU70-3517-6635-7277
253;547;11/02/2003 18:30;NULL;KJNH7BMBMF6ERQI;71275;BG79-3851-7639-4102
254;258;29/05/2008 2:06;47845;QOYNYTFAAR51PH3;31515;DH50-6163-2655-0079
255;167;24/08/2008 0:34;16562;H0QHH3GU8XQKDBC;56584;NP99-6420-5099-1997
256;727;10/08/2006 20:43;6616;8DKXR51R4C6F6LL;15166;YV40-3641-2657-6029
257;1003;24/08/2005 13:10;26571;CKWQ01SN74F03UW;85816;KG75-5381-1167-4822
258;615;4/02/2002 7:23;1227;E2TCW5UCYZC4W1O;79998;UY23-2949-7955-7418
259;967;21/09/2002 5:00;40297;CL8SFM26KWQNQ1O;86301;PZ15-9121-6862-5232
260;1073;6/11/2005 3:53;18297;F813R987QKS0OOR;78771;KE31-2963-4519-1833
261;704;21/07/2002 5:13;31584;FSNHL4JSZMRZF6M;71009;FT00-2812-5727-7397
262;627;NULL;45222;B2ONZKV2C11UT2I;80549;OT23-3043-9614-2119
263;1248;30/04/2003 0:25;29378;5K7YD6OBO935H8R;1444;ND97-1345-6669-8749
264;933;14/02/2007 8:04;25554;XVPMZ36UWK4K2OY;96799;UX51-3942-7006-3541
265;109;19/04/2004 21:49;37859;4VUVYNJ4ECYQGQL;40419;ZW39-4543-9272-3698
266;907;18/02/2005 17:48;1464;9HXYCWW1DD1S139;11424;ZH86-3442-8170-2149
267;169;26/02/2007 22:39;43284;A60MDWLACK7N4GD;6030;YV87-4908-3305-4390
268;784;5/09/2010 11:19;40723;Z0BKRZK7YSILMQ2;13630;AE01-1104-8804-0829
269;1070;25/04/2010 7:28;28102;2YFAPZQCVNMSO9X;63317;LJ57-4588-8396-7542
270;1088;30/10/2002 10:41;33517;NULL;88126;YK44-1044-1558-5316
271;567;10/12/2005 1:27;33413;ZVT1RP9BLSNLE0N;27072;GQ05-8522-6749-0283
272;1138;12/05/2006 23:52;30674;HXK612G09ZO4DSJ;47793;JJ68-8821-5167-3982
273;726;28/04/2007 1:07;49605;VLMQW1IDP4PWB5X;56598;FE57-8040-3192-4669
274;163;1/09/2003 1:23;24982;Z0AQORVWFTSS04Y;10045;AC06-1173-0912-1039
275;448;13/08/2002 22:53;12624;9YPTEXPGE7GXDJO;40393;TC29-5392-3910-4126
276;1238;16/05/2002 23:44;12199;1S5CHS04QPB28QC;38010;TT21-0526-0729-8606
277;969;20/03/2005 13:19;33142;5WNCF4H2AUCGAYI;73188;UB70-1178-2993-9804
278;1263;31/03/2002 14:10;37430;4OQ7ZLBGXL3OLM7;26055;RP31-0454-0196-5189
279;156;30/09/2010 20:41;23927;UWRHWBOXA31NGKT;99050;OT77-6088-1914-4900
280;404;18/01/2008 6:45;44427;6GXK04KKL6FU0TG;87242;EK27-6947-5318-5354
281;602;5/08/2007 16:03;12158;MOLE61YT0SWWJN0;55315;RR82-2701-8633-5030
282;910;21/02/2006 16:02;27438;RBI5OMNPB7VPWTW;74521;JD65-6485-6347-3514
283;1264;6/04/2003 16:18;28712;MD0RYFL4H4K88O0;43272;LN76-4903-3335-1686
